SOURCE,TARGET,KIND
5103,6294,FAMILY
5103,5495,FAMILY
5103,6893,FAMILY
5103,5908,FAMILY
5103,7584,FAMILY
7584,5908,FAMILY
7584,6893,FAMILY
7584,5495,FAMILY
7584,6294,FAMILY
5908,6893,FAMILY
5908,5495,FAMILY
5908,6294,FAMILY
6893,5495,FAMILY
6893,6294,FAMILY
5495,6294,FAMILY
7607,7605,FAMILY
5177,5414,FAMILY
5177,6351,FAMILY
5177,7409,FAMILY
5177,5255,FAMILY
5177,7333,FAMILY
5177,6835,FAMILY
6835,7333,FAMILY
6835,5255,FAMILY
6835,7409,FAMILY
6835,6351,FAMILY
6835,5414,FAMILY
7333,5255,FAMILY
7333,7409,FAMILY
7333,6351,FAMILY
7333,5414,FAMILY
5255,7409,FAMILY
5255,6351,FAMILY
5255,5414,FAMILY
7409,6351,FAMILY
7409,5414,FAMILY
6351,5414,FAMILY
5017,7161,FAMILY
5017,5443,FAMILY
5017,5945,FAMILY
5945,5443,FAMILY
5945,7161,FAMILY
5443,7161,FAMILY
6652,5449,FAMILY
6652,5814,FAMILY
6652,5575,FAMILY
6652,6214,FAMILY
6214,5575,FAMILY
6214,5814,FAMILY
6214,5449,FAMILY
5575,5814,FAMILY
5575,5449,FAMILY
5814,5449,FAMILY
7152,5291,FAMILY
7152,5070,FAMILY
5070,5291,FAMILY
7541,5923,FAMILY
7541,7778,FAMILY
7541,5857,FAMILY
5857,7778,FAMILY
5857,5923,FAMILY
7778,5923,FAMILY
6055,6034,FAMILY
6055,5682,FAMILY
6055,6251,FAMILY
6055,5351,FAMILY
6055,5879,FAMILY
6055,7553,FAMILY
6055,7042,FAMILY
7042,7553,FAMILY
7042,5879,FAMILY
7042,5351,FAMILY
7042,6251,FAMILY
7042,5682,FAMILY
7042,6034,FAMILY
7553,5879,FAMILY
7553,5351,FAMILY
7553,6251,FAMILY
7553,5682,FAMILY
7553,6034,FAMILY
5879,5351,FAMILY
5879,6251,FAMILY
5879,5682,FAMILY
5879,6034,FAMILY
5351,6251,FAMILY
5351,5682,FAMILY
5351,6034,FAMILY
6251,5682,FAMILY
6251,6034,FAMILY
5682,6034,FAMILY
6826,5559,FAMILY
6826,6170,FAMILY
6826,6334,FAMILY
6826,7272,FAMILY
6826,7395,FAMILY
6826,5432,FAMILY
6826,6440,FAMILY
6826,5643,FAMILY
5643,6440,FAMILY
5643,5432,FAMILY
5643,7395,FAMILY
5643,7272,FAMILY
5643,6334,FAMILY
5643,6170,FAMILY
5643,5559,FAMILY
6440,5432,FAMILY
6440,7395,FAMILY
6440,7272,FAMILY
6440,6334,FAMILY
6440,6170,FAMILY
6440,5559,FAMILY
5432,7395,FAMILY
5432,7272,FAMILY
5432,6334,FAMILY
5432,6170,FAMILY
5432,5559,FAMILY
7395,7272,FAMILY
7395,6334,FAMILY
7395,6170,FAMILY
7395,5559,FAMILY
7272,6334,FAMILY
7272,6170,FAMILY
7272,5559,FAMILY
6334,6170,FAMILY
6334,5559,FAMILY
6170,5559,FAMILY
6471,7368,FAMILY
6471,7535,FAMILY
6471,7033,FAMILY
6471,5082,FAMILY
6471,7530,FAMILY
7530,5082,FAMILY
7530,7033,FAMILY
7530,7535,FAMILY
7530,7368,FAMILY
5082,7033,FAMILY
5082,7535,FAMILY
5082,7368,FAMILY
7033,7535,FAMILY
7033,7368,FAMILY
7535,7368,FAMILY
7801,6902,FAMILY
7801,6537,FAMILY
6537,6902,FAMILY
6887,7370,FAMILY
6532,6305,FAMILY
6532,4966,FAMILY
6532,5535,FAMILY
6532,6187,FAMILY
6187,5535,FAMILY
6187,4966,FAMILY
6187,6305,FAMILY
5535,4966,FAMILY
5535,6305,FAMILY
4966,6305,FAMILY
5104,5553,FAMILY
5104,7492,FAMILY
5104,6355,FAMILY
6355,7492,FAMILY
6355,5553,FAMILY
7492,5553,FAMILY
5815,5411,FAMILY
5815,7275,FAMILY
5815,6005,FAMILY
5815,7129,FAMILY
7129,6005,FAMILY
7129,7275,FAMILY
7129,5411,FAMILY
6005,7275,FAMILY
6005,5411,FAMILY
7275,5411,FAMILY
7557,7322,FAMILY
7557,6227,FAMILY
7557,6921,FAMILY
7557,5107,FAMILY
7557,5812,FAMILY
5812,5107,FAMILY
5812,6921,FAMILY
5812,6227,FAMILY
5812,7322,FAMILY
5107,6921,FAMILY
5107,6227,FAMILY
5107,7322,FAMILY
6921,6227,FAMILY
6921,7322,FAMILY
6227,7322,FAMILY
5973,7618,FAMILY
5973,6798,FAMILY
5973,5905,FAMILY
5905,6798,FAMILY
5905,7618,FAMILY
6798,7618,FAMILY
5656,6801,FAMILY
5656,6419,FAMILY
6419,6801,FAMILY
6209,6307,FAMILY
6209,7393,FAMILY
6209,7279,FAMILY
6209,7642,FAMILY
7642,7279,FAMILY
7642,7393,FAMILY
7642,6307,FAMILY
7279,7393,FAMILY
7279,6307,FAMILY
7393,6307,FAMILY
7602,6523,FAMILY
7602,6611,FAMILY
7602,5988,FAMILY
7602,5634,FAMILY
7602,7216,FAMILY
7602,7470,FAMILY
7470,7216,FAMILY
7470,5634,FAMILY
7470,5988,FAMILY
7470,6611,FAMILY
7470,6523,FAMILY
7216,5634,FAMILY
7216,5988,FAMILY
7216,6611,FAMILY
7216,6523,FAMILY
5634,5988,FAMILY
5634,6611,FAMILY
5634,6523,FAMILY
5988,6611,FAMILY
5988,6523,FAMILY
6611,6523,FAMILY
5032,7150,FAMILY
6121,7432,FAMILY
6121,6076,FAMILY
6121,5599,FAMILY
6121,5413,FAMILY
5413,5599,FAMILY
5413,6076,FAMILY
5413,7432,FAMILY
5599,6076,FAMILY
5599,7432,FAMILY
6076,7432,FAMILY
7343,6578,FAMILY
7343,5876,FAMILY
7343,7166,FAMILY
7166,5876,FAMILY
7166,6578,FAMILY
5876,6578,FAMILY
7515,7366,FAMILY
7515,6915,FAMILY
7515,6281,FAMILY
6281,6915,FAMILY
6281,7366,FAMILY
6915,7366,FAMILY
6246,6450,FAMILY
6246,6206,FAMILY
6206,6450,FAMILY
6808,6207,FAMILY
6808,7647,FAMILY
6808,6021,FAMILY
6808,7013,FAMILY
6808,7429,FAMILY
7429,7013,FAMILY
7429,6021,FAMILY
7429,7647,FAMILY
7429,6207,FAMILY
7013,6021,FAMILY
7013,7647,FAMILY
7013,6207,FAMILY
6021,7647,FAMILY
6021,6207,FAMILY
7647,6207,FAMILY
6920,5079,FAMILY
6920,6171,FAMILY
6920,6415,FAMILY
6415,6171,FAMILY
6415,5079,FAMILY
6171,5079,FAMILY
7168,6992,FAMILY
6737,5400,FAMILY
6737,5350,FAMILY
6737,7484,FAMILY
6737,7637,FAMILY
7637,7484,FAMILY
7637,5350,FAMILY
7637,5400,FAMILY
7484,5350,FAMILY
7484,5400,FAMILY
5350,5400,FAMILY
6717,5941,FAMILY
6717,5430,FAMILY
6717,7537,FAMILY
6717,5308,FAMILY
6717,6381,FAMILY
6717,6821,FAMILY
6821,6381,FAMILY
6821,5308,FAMILY
6821,7537,FAMILY
6821,5430,FAMILY
6821,5941,FAMILY
6381,5308,FAMILY
6381,7537,FAMILY
6381,5430,FAMILY
6381,5941,FAMILY
5308,7537,FAMILY
5308,5430,FAMILY
5308,5941,FAMILY
7537,5430,FAMILY
7537,5941,FAMILY
5430,5941,FAMILY
6793,6143,FAMILY
6212,6464,FAMILY
6212,5580,FAMILY
6212,5377,FAMILY
6212,5784,FAMILY
6212,5093,FAMILY
5093,5784,FAMILY
5093,5377,FAMILY
5093,5580,FAMILY
5093,6464,FAMILY
5784,5377,FAMILY
5784,5580,FAMILY
5784,6464,FAMILY
5377,5580,FAMILY
5377,6464,FAMILY
5580,6464,FAMILY
6679,7104,FAMILY
6679,6027,FAMILY
6027,7104,FAMILY
7297,7199,FAMILY
7297,7520,FAMILY
7297,7365,FAMILY
7365,7520,FAMILY
7365,7199,FAMILY
7520,7199,FAMILY
5782,6130,FAMILY
5782,5818,FAMILY
5782,6609,FAMILY
5782,7821,FAMILY
5782,6729,FAMILY
5782,5221,FAMILY
5221,6729,FAMILY
5221,7821,FAMILY
5221,6609,FAMILY
5221,5818,FAMILY
5221,6130,FAMILY
6729,7821,FAMILY
6729,6609,FAMILY
6729,5818,FAMILY
6729,6130,FAMILY
7821,6609,FAMILY
7821,5818,FAMILY
7821,6130,FAMILY
6609,5818,FAMILY
6609,6130,FAMILY
5818,6130,FAMILY
7010,5073,FAMILY
7010,6936,FAMILY
7010,5046,FAMILY
7010,5380,FAMILY
5380,5046,FAMILY
5380,6936,FAMILY
5380,5073,FAMILY
5046,6936,FAMILY
5046,5073,FAMILY
6936,5073,FAMILY
5267,6702,FAMILY
5267,5935,FAMILY
5267,6356,FAMILY
6356,5935,FAMILY
6356,6702,FAMILY
5935,6702,FAMILY
5985,6783,FAMILY
5985,7198,FAMILY
5985,7220,FAMILY
5985,5551,FAMILY
5985,5992,FAMILY
5992,5551,FAMILY
5992,7220,FAMILY
5992,7198,FAMILY
5992,6783,FAMILY
5551,7220,FAMILY
5551,7198,FAMILY
