SOURCE,TARGET,WEIGHT,KIND
9235,10022,1,FAMILY
9235,8922,1,FAMILY
9235,8934,1,FAMILY
9235,9225,1,FAMILY
9235,10498,1,FAMILY
9235,7907,1,FAMILY
9235,9660,1,FAMILY
9660,7907,1,FAMILY
9660,10498,1,FAMILY
9660,9225,1,FAMILY
9660,8934,1,FAMILY
9660,8922,1,FAMILY
9660,10022,1,FAMILY
7907,10498,1,FAMILY
7907,9225,1,FAMILY
7907,8934,1,FAMILY
7907,8922,1,FAMILY
7907,10022,1,FAMILY
10498,9225,1,FAMILY
10498,8934,1,FAMILY
10498,8922,1,FAMILY
10498,10022,1,FAMILY
9225,8934,1,FAMILY
9225,8922,1,FAMILY
9225,10022,1,FAMILY
8934,8922,1,FAMILY
8934,10022,1,FAMILY
8922,10022,1,FAMILY
9153,8084,1,FAMILY
9153,10352,1,FAMILY
9153,10337,1,FAMILY
9153,8371,1,FAMILY
8371,10337,1,FAMILY
8371,10352,1,FAMILY
8371,8084,1,FAMILY
10337,10352,1,FAMILY
10337,8084,1,FAMILY
10352,8084,1,FAMILY
8537,9750,1,FAMILY
7852,8857,1,FAMILY
7852,10181,1,FAMILY
7852,10801,1,FAMILY
7852,9164,1,FAMILY
7852,8442,1,FAMILY
8442,9164,1,FAMILY
8442,10801,1,FAMILY
8442,10181,1,FAMILY
8442,8857,1,FAMILY
9164,10801,1,FAMILY
9164,10181,1,FAMILY
9164,8857,1,FAMILY
10801,10181,1,FAMILY
10801,8857,1,FAMILY
10181,8857,1,FAMILY
10766,9955,1,FAMILY
10766,9321,1,FAMILY
9321,9955,1,FAMILY
9113,8235,1,FAMILY
9113,10868,1,FAMILY
9113,9968,1,FAMILY
9113,9135,1,FAMILY
9113,8241,1,FAMILY
9113,9046,1,FAMILY
9046,8241,1,FAMILY
9046,9135,1,FAMILY
9046,9968,1,FAMILY
9046,10868,1,FAMILY
9046,8235,1,FAMILY
8241,9135,1,FAMILY
8241,9968,1,FAMILY
8241,10868,1,FAMILY
8241,8235,1,FAMILY
9135,9968,1,FAMILY
9135,10868,1,FAMILY
9135,8235,1,FAMILY
9968,10868,1,FAMILY
9968,8235,1,FAMILY
10868,8235,1,FAMILY
8936,10407,1,FAMILY
8936,8089,1,FAMILY
8936,9698,1,FAMILY
8936,8366,1,FAMILY
8936,8288,1,FAMILY
8936,8711,1,FAMILY
8936,9343,1,FAMILY
8936,8410,1,FAMILY
8410,9343,1,FAMILY
8410,8711,1,FAMILY
8410,8288,1,FAMILY
8410,8366,1,FAMILY
8410,9698,1,FAMILY
8410,8089,1,FAMILY
8410,10407,1,FAMILY
9343,8711,1,FAMILY
9343,8288,1,FAMILY
9343,8366,1,FAMILY
9343,9698,1,FAMILY
9343,8089,1,FAMILY
9343,10407,1,FAMILY
8711,8288,1,FAMILY
8711,8366,1,FAMILY
8711,9698,1,FAMILY
8711,8089,1,FAMILY
8711,10407,1,FAMILY
8288,8366,1,FAMILY
8288,9698,1,FAMILY
8288,8089,1,FAMILY
8288,10407,1,FAMILY
8366,9698,1,FAMILY
8366,8089,1,FAMILY
8366,10407,1,FAMILY
9698,8089,1,FAMILY
9698,10407,1,FAMILY
8089,10407,1,FAMILY
8559,10800,1,FAMILY
8559,9868,1,FAMILY
8559,8445,1,FAMILY
8559,9911,1,FAMILY
9911,8445,1,FAMILY
9911,9868,1,FAMILY
9911,10800,1,FAMILY
8445,9868,1,FAMILY
8445,10800,1,FAMILY
9868,10800,1,FAMILY
8832,8270,1,FAMILY
8832,8417,1,FAMILY
8832,10372,1,FAMILY
10372,8417,1,FAMILY
10372,8270,1,FAMILY
8417,8270,1,FAMILY
10809,8003,1,FAMILY
9352,8166,1,FAMILY
9352,9694,1,FAMILY
9352,8531,1,FAMILY
9352,8972,1,FAMILY
9352,8576,1,FAMILY
8576,8972,1,FAMILY
8576,8531,1,FAMILY
8576,9694,1,FAMILY
8576,8166,1,FAMILY
8972,8531,1,FAMILY
8972,9694,1,FAMILY
8972,8166,1,FAMILY
8531,9694,1,FAMILY
8531,8166,1,FAMILY
9694,8166,1,FAMILY
10363,8335,1,FAMILY
8077,8470,1,FAMILY
8077,9791,1,FAMILY
8077,8570,1,FAMILY
8077,8706,1,FAMILY
8077,8746,1,FAMILY
8077,8808,1,FAMILY
8808,8746,1,FAMILY
8808,8706,1,FAMILY
8808,8570,1,FAMILY
8808,9791,1,FAMILY
8808,8470,1,FAMILY
8746,8706,1,FAMILY
8746,8570,1,FAMILY
8746,9791,1,FAMILY
8746,8470,1,FAMILY
8706,8570,1,FAMILY
8706,9791,1,FAMILY
8706,8470,1,FAMILY
8570,9791,1,FAMILY
8570,8470,1,FAMILY
9791,8470,1,FAMILY
10178,8469,1,FAMILY
10178,10649,1,FAMILY
10649,8469,1,FAMILY
8877,10308,1,FAMILY
9317,10327,1,FAMILY
8017,9137,1,FAMILY
8017,10107,1,FAMILY
8017,10685,1,FAMILY
8017,8518,1,FAMILY
8017,9611,1,FAMILY
9611,8518,1,FAMILY
9611,10685,1,FAMILY
9611,10107,1,FAMILY
9611,9137,1,FAMILY
8518,10685,1,FAMILY
8518,10107,1,FAMILY
8518,9137,1,FAMILY
10685,10107,1,FAMILY
10685,9137,1,FAMILY
10107,9137,1,FAMILY
8777,8272,1,FAMILY
8777,10852,1,FAMILY
8777,9112,1,FAMILY
8777,8823,1,FAMILY
8823,9112,1,FAMILY
8823,10852,1,FAMILY
8823,8272,1,FAMILY
9112,10852,1,FAMILY
9112,8272,1,FAMILY
10852,8272,1,FAMILY
8793,10296,1,FAMILY
10423,7902,1,FAMILY
10423,8667,1,FAMILY
8667,7902,1,FAMILY
10103,9888,1,FAMILY
10103,8969,1,FAMILY
10103,10225,1,FAMILY
10103,10023,1,FAMILY
10023,10225,1,FAMILY
10023,8969,1,FAMILY
10023,9888,1,FAMILY
10225,8969,1,FAMILY
10225,9888,1,FAMILY
8969,9888,1,FAMILY
7878,9541,1,FAMILY
7878,8916,1,FAMILY
7878,8329,1,FAMILY
8329,8916,1,FAMILY
8329,9541,1,FAMILY
8916,9541,1,FAMILY
9369,9544,1,FAMILY
9369,8562,1,FAMILY
9369,10777,1,FAMILY
9369,8802,1,FAMILY
9369,9453,1,FAMILY
9369,7904,1,FAMILY
7904,9453,1,FAMILY
7904,8802,1,FAMILY
7904,10777,1,FAMILY
7904,8562,1,FAMILY
7904,9544,1,FAMILY
9453,8802,1,FAMILY
9453,10777,1,FAMILY
9453,8562,1,FAMILY
9453,9544,1,FAMILY
8802,10777,1,FAMILY
8802,8562,1,FAMILY
8802,9544,1,FAMILY
10777,8562,1,FAMILY
10777,9544,1,FAMILY
8562,9544,1,FAMILY
8144,9087,1,FAMILY
8144,7848,1,FAMILY
8144,9643,1,FAMILY
9643,7848,1,FAMILY
9643,9087,1,FAMILY
7848,9087,1,FAMILY
10929,8648,1,FAMILY
10929,8441,1,FAMILY
10929,8578,1,FAMILY
10929,9667,1,FAMILY
9667,8578,1,FAMILY
9667,8441,1,FAMILY
9667,8648,1,FAMILY
8578,8441,1,FAMILY
8578,8648,1,FAMILY
8441,8648,1,FAMILY
8930,9730,1,FAMILY
8930,9037,1,FAMILY
8930,10487,1,FAMILY
8930,10585,1,FAMILY
10585,10487,1,FAMILY
10585,9037,1,FAMILY
10585,9730,1,FAMILY
10487,9037,1,FAMILY
10487,9730,1,FAMILY
9037,9730,1,FAMILY
10969,10924,1,FAMILY
10969,9585,1,FAMILY
10969,8606,1,FAMILY
10969,9810,1,FAMILY
10969,9207,1,FAMILY
10969,9004,1,FAMILY
9004,9207,1,FAMILY
9004,9810,1,FAMILY
9004,8606,1,FAMILY
9004,9585,1,FAMILY
9004,10924,1,FAMILY
9207,9810,1,FAMILY
9207,8606,1,FAMILY
9207,9585,1,FAMILY
9207,10924,1,FAMILY
9810,8606,1,FAMILY
9810,9585,1,FAMILY
9810,10924,1,FAMILY
8606,9585,1,FAMILY
8606,10924,1,FAMILY
9585,10924,1,FAMILY
9882,9666,1,FAMILY
9882,9767,1,FAMILY
9882,9244,1,FAMILY
9882,7846,1,FAMILY
9882,10721,1,FAMILY
10721,7846,1,FAMILY
10721,9244,1,FAMILY
10721,9767,1,FAMILY
10721,9666,1,FAMILY
7846,9244,1,FAMILY
7846,9767,1,FAMILY
7846,9666,1,FAMILY
9244,9767,1,FAMILY
9244,9666,1,FAMILY
9767,9666,1,FAMILY
10174,8154,1,FAMILY
10174,8532,1,FAMILY
8532,8154,1,FAMILY
8313,9981,1,FAMILY
8313,9045,1,FAMILY
8313,10849,1,FAMILY
8313,10151,1,FAMILY
10151,10849,1,FAMILY
10151,9045,1,FAMILY
10151,9981,1,FAMILY
10849,9045,1,FAMILY
10849,9981,1,FAMILY
9045,9981,1,FAMILY
10706,8762,1,FAMILY
10706,8775,1,FAMILY
10706,10641,1,FAMILY
10641,8775,1,FAMILY
10641,8762,1,FAMILY
8775,8762,1,FAMILY
