SOURCE,TARGET,WEIGHT
10113,10113,1
9205,9950,1
9205,8896,1
9205,9715,1
9205,10033,1
9205,8877,1
9205,9183,1
9205,9272,1
9205,10299,1
9205,8111,1
9205,8587,1
9205,8813,1
9205,8978,1
9205,8789,1
9205,10959,1
9205,8986,1
9205,9392,1
9205,8822,1
9205,9004,1
9205,10829,1
9205,9111,1
9205,8987,1
9205,8186,1
9205,9943,1
9205,9653,1
9205,10955,1
9205,10265,1
10265,10955,1
10265,9653,1
10265,9943,1
10265,8186,1
10265,8987,1
10265,9111,1
10265,10829,1
10265,9004,1
10265,8822,1
10265,9392,1
10265,8986,1
10265,10959,1
10265,8789,1
10265,8978,1
10265,8813,1
10265,8587,1
10265,8111,1
10265,10299,1
10265,9272,1
10265,9183,1
10265,8877,1
10265,10033,1
10265,9715,1
10265,8896,1
10265,9950,1
10955,9653,1
10955,9943,1
10955,8186,1
10955,8987,1
10955,9111,1
10955,10829,1
10955,9004,1
10955,8822,1
10955,9392,1
10955,8986,1
10955,10959,1
10955,8789,1
10955,8978,1
10955,8813,1
10955,8587,1
10955,8111,1
10955,10299,1
10955,9272,1
10955,9183,1
10955,8877,1
10955,10033,1
10955,9715,1
10955,8896,1
10955,9950,1
9653,9943,1
9653,8186,1
9653,8987,1
9653,9111,1
9653,10829,1
9653,9004,1
9653,8822,1
9653,9392,1
9653,8986,1
9653,10959,1
9653,8789,1
9653,8978,1
9653,8813,1
9653,8587,1
9653,8111,1
9653,10299,1
9653,9272,1
9653,9183,1
9653,8877,1
9653,10033,1
9653,9715,1
9653,8896,1
9653,9950,1
9943,8186,1
9943,8987,1
9943,9111,1
9943,10829,1
9943,9004,1
9943,8822,1
9943,9392,1
9943,8986,1
9943,10959,1
9943,8789,1
9943,8978,1
9943,8813,1
9943,8587,1
9943,8111,1
9943,10299,1
9943,9272,1
9943,9183,1
9943,8877,1
9943,10033,1
9943,9715,1
9943,8896,1
9943,9950,1
8186,8987,1
8186,9111,1
8186,10829,1
8186,9004,1
8186,8822,1
8186,9392,1
8186,8986,1
8186,10959,1
8186,8789,1
8186,8978,1
8186,8813,1
8186,8587,1
8186,8111,1
8186,10299,1
8186,9272,1
8186,9183,1
8186,8877,1
8186,10033,1
8186,9715,1
8186,8896,1
8186,9950,1
8987,9111,1
8987,10829,1
8987,9004,1
8987,8822,1
8987,9392,1
8987,8986,1
8987,10959,1
8987,8789,1
8987,8978,1
8987,8813,1
8987,8587,1
8987,8111,1
8987,10299,1
8987,9272,1
8987,9183,1
8987,8877,1
8987,10033,1
8987,9715,1
8987,8896,1
8987,9950,1
9111,10829,1
9111,9004,1
9111,8822,1
9111,9392,1
9111,8986,1
9111,10959,1
9111,8789,1
9111,8978,1
9111,8813,1
9111,8587,1
9111,8111,1
9111,10299,1
9111,9272,1
9111,9183,1
9111,8877,1
9111,10033,1
9111,9715,1
9111,8896,1
9111,9950,1
10829,9004,1
10829,8822,1
10829,9392,1
10829,8986,1
10829,10959,1
10829,8789,1
10829,8978,1
10829,8813,1
10829,8587,1
10829,8111,1
10829,10299,1
10829,9272,1
10829,9183,1
10829,8877,1
10829,10033,1
10829,9715,1
10829,8896,1
10829,9950,1
9004,8822,1
9004,9392,1
9004,8986,1
9004,10959,1
9004,8789,1
9004,8978,1
9004,8813,1
9004,8587,1
9004,8111,1
9004,10299,1
9004,9272,1
9004,9183,1
9004,8877,1
9004,10033,1
9004,9715,1
9004,8896,1
9004,9950,1
8822,9392,1
8822,8986,1
8822,10959,1
8822,8789,1
8822,8978,1
8822,8813,1
8822,8587,1
8822,8111,1
8822,10299,1
8822,9272,1
8822,9183,1
8822,8877,1
8822,10033,1
8822,9715,1
8822,8896,1
8822,9950,1
9392,8986,1
9392,10959,1
9392,8789,1
9392,8978,1
9392,8813,1
9392,8587,1
9392,8111,1
9392,10299,1
9392,9272,1
9392,9183,1
9392,8877,1
9392,10033,1
9392,9715,1
9392,8896,1
9392,9950,1
8986,10959,1
8986,8789,1
8986,8978,1
8986,8813,1
8986,8587,1
8986,8111,1
8986,10299,1
8986,9272,1
8986,9183,1
8986,8877,1
8986,10033,1
8986,9715,1
8986,8896,1
8986,9950,1
10959,8789,1
10959,8978,1
10959,8813,1
10959,8587,1
10959,8111,1
10959,10299,1
10959,9272,1
10959,9183,1
10959,8877,1
10959,10033,1
10959,9715,1
10959,8896,1
10959,9950,1
8789,8978,1
8789,8813,1
8789,8587,1
8789,8111,1
8789,10299,1
8789,9272,1
8789,9183,1
8789,8877,1
8789,10033,1
8789,9715,1
8789,8896,1
8789,9950,1
8978,8813,1
8978,8587,1
8978,8111,1
8978,10299,1
8978,9272,1
8978,9183,1
8978,8877,1
8978,10033,1
8978,9715,1
8978,8896,1
8978,9950,1
8813,8587,1
8813,8111,1
8813,10299,1
8813,9272,1
8813,9183,1
8813,8877,1
8813,10033,1
8813,9715,1
8813,8896,1
8813,9950,1
