SOURCE,TARGET,KIND
13001,13657,FAMILY
13001,11085,FAMILY
13001,13969,FAMILY
13001,12150,FAMILY
13001,12604,FAMILY
12604,12150,FAMILY
12604,13969,FAMILY
12604,11085,FAMILY
12604,13657,FAMILY
12150,13969,FAMILY
12150,11085,FAMILY
12150,13657,FAMILY
13969,11085,FAMILY
13969,13657,FAMILY
11085,13657,FAMILY
11601,12481,FAMILY
11601,13425,FAMILY
11601,11231,FAMILY
11601,11592,FAMILY
11601,11668,FAMILY
11601,11185,FAMILY
11185,11668,FAMILY
11185,11592,FAMILY
11185,11231,FAMILY
11185,13425,FAMILY
11185,12481,FAMILY
11668,11592,FAMILY
11668,11231,FAMILY
11668,13425,FAMILY
11668,12481,FAMILY
11592,11231,FAMILY
11592,13425,FAMILY
11592,12481,FAMILY
11231,13425,FAMILY
11231,12481,FAMILY
13425,12481,FAMILY
12645,14206,FAMILY
12645,12887,FAMILY
12645,11103,FAMILY
12645,13283,FAMILY
13283,11103,FAMILY
13283,12887,FAMILY
13283,14206,FAMILY
11103,12887,FAMILY
11103,14206,FAMILY
12887,14206,FAMILY
12890,13040,FAMILY
12890,12523,FAMILY
12890,11226,FAMILY
11226,12523,FAMILY
11226,13040,FAMILY
12523,13040,FAMILY
13137,11581,FAMILY
13137,11708,FAMILY
13137,13966,FAMILY
13137,12953,FAMILY
13137,13785,FAMILY
13137,13402,FAMILY
13137,11423,FAMILY
11423,13402,FAMILY
11423,13785,FAMILY
11423,12953,FAMILY
11423,13966,FAMILY
11423,11708,FAMILY
11423,11581,FAMILY
13402,13785,FAMILY
13402,12953,FAMILY
13402,13966,FAMILY
13402,11708,FAMILY
13402,11581,FAMILY
13785,12953,FAMILY
13785,13966,FAMILY
13785,11708,FAMILY
13785,11581,FAMILY
12953,13966,FAMILY
12953,11708,FAMILY
12953,11581,FAMILY
13966,11708,FAMILY
13966,11581,FAMILY
11708,11581,FAMILY
12641,11500,FAMILY
12641,12183,FAMILY
12183,11500,FAMILY
13099,14003,FAMILY
14216,13529,FAMILY
14216,11112,FAMILY
14216,13324,FAMILY
14216,11678,FAMILY
11678,13324,FAMILY
11678,11112,FAMILY
11678,13529,FAMILY
13324,11112,FAMILY
13324,13529,FAMILY
11112,13529,FAMILY
11052,12077,FAMILY
11052,11624,FAMILY
11052,13077,FAMILY
13077,11624,FAMILY
13077,12077,FAMILY
11624,12077,FAMILY
13736,12241,FAMILY
13736,11716,FAMILY
13736,11244,FAMILY
13736,13371,FAMILY
13736,13677,FAMILY
13736,12234,FAMILY
12234,13677,FAMILY
12234,13371,FAMILY
12234,11244,FAMILY
12234,11716,FAMILY
12234,12241,FAMILY
13677,13371,FAMILY
13677,11244,FAMILY
13677,11716,FAMILY
13677,12241,FAMILY
13371,11244,FAMILY
13371,11716,FAMILY
13371,12241,FAMILY
11244,11716,FAMILY
11244,12241,FAMILY
11716,12241,FAMILY
11972,11594,FAMILY
11972,12456,FAMILY
12456,11594,FAMILY
12947,12082,FAMILY
12947,12936,FAMILY
12947,14084,FAMILY
12947,12302,FAMILY
12302,14084,FAMILY
12302,12936,FAMILY
12302,12082,FAMILY
14084,12936,FAMILY
14084,12082,FAMILY
12936,12082,FAMILY
11283,13477,FAMILY
11283,13968,FAMILY
11283,12777,FAMILY
11283,12803,FAMILY
11283,11542,FAMILY
11283,14073,FAMILY
11283,12194,FAMILY
11283,13751,FAMILY
13751,12194,FAMILY
13751,14073,FAMILY
13751,11542,FAMILY
13751,12803,FAMILY
13751,12777,FAMILY
13751,13968,FAMILY
13751,13477,FAMILY
12194,14073,FAMILY
12194,11542,FAMILY
12194,12803,FAMILY
12194,12777,FAMILY
12194,13968,FAMILY
12194,13477,FAMILY
14073,11542,FAMILY
14073,12803,FAMILY
14073,12777,FAMILY
14073,13968,FAMILY
14073,13477,FAMILY
11542,12803,FAMILY
11542,12777,FAMILY
11542,13968,FAMILY
11542,13477,FAMILY
12803,12777,FAMILY
12803,13968,FAMILY
12803,13477,FAMILY
12777,13968,FAMILY
12777,13477,FAMILY
13968,13477,FAMILY
11154,13153,FAMILY
11154,13474,FAMILY
11154,12776,FAMILY
11154,11460,FAMILY
11154,12247,FAMILY
12247,11460,FAMILY
12247,12776,FAMILY
12247,13474,FAMILY
12247,13153,FAMILY
11460,12776,FAMILY
11460,13474,FAMILY
11460,13153,FAMILY
12776,13474,FAMILY
12776,13153,FAMILY
13474,13153,FAMILY
14217,12347,FAMILY
12944,14051,FAMILY
12944,12778,FAMILY
12944,12682,FAMILY
12682,12778,FAMILY
12682,14051,FAMILY
12778,14051,FAMILY
13617,11997,FAMILY
13617,13652,FAMILY
13617,13118,FAMILY
13118,13652,FAMILY
13118,11997,FAMILY
13652,11997,FAMILY
13143,11595,FAMILY
13766,13638,FAMILY
13766,13775,FAMILY
13766,11031,FAMILY
13766,12812,FAMILY
12812,11031,FAMILY
12812,13775,FAMILY
12812,13638,FAMILY
11031,13775,FAMILY
11031,13638,FAMILY
13775,13638,FAMILY
13412,11891,FAMILY
13412,13860,FAMILY
13412,11831,FAMILY
13412,13612,FAMILY
13412,13955,FAMILY
13412,12472,FAMILY
12472,13955,FAMILY
12472,13612,FAMILY
12472,11831,FAMILY
12472,13860,FAMILY
12472,11891,FAMILY
13955,13612,FAMILY
13955,11831,FAMILY
13955,13860,FAMILY
13955,11891,FAMILY
13612,11831,FAMILY
13612,13860,FAMILY
13612,11891,FAMILY
11831,13860,FAMILY
11831,11891,FAMILY
13860,11891,FAMILY
14203,12066,FAMILY
14203,11797,FAMILY
11797,12066,FAMILY
12526,11530,FAMILY
12526,13191,FAMILY
12526,12510,FAMILY
12510,13191,FAMILY
12510,11530,FAMILY
13191,11530,FAMILY
12541,11647,FAMILY
12541,13090,FAMILY
12541,12307,FAMILY
12541,13149,FAMILY
13149,12307,FAMILY
13149,13090,FAMILY
13149,11647,FAMILY
12307,13090,FAMILY
12307,11647,FAMILY
13090,11647,FAMILY
11340,13181,FAMILY
11340,12120,FAMILY
12120,13181,FAMILY
12780,12914,FAMILY
12780,12370,FAMILY
12780,12143,FAMILY
12780,11590,FAMILY
12780,13052,FAMILY
13052,11590,FAMILY
13052,12143,FAMILY
13052,12370,FAMILY
13052,12914,FAMILY
11590,12143,FAMILY
11590,12370,FAMILY
11590,12914,FAMILY
12143,12370,FAMILY
12143,12914,FAMILY
12370,12914,FAMILY
13870,14102,FAMILY
13870,12957,FAMILY
13870,11857,FAMILY
11857,12957,FAMILY
11857,14102,FAMILY
12957,14102,FAMILY
11046,12635,FAMILY
11046,11688,FAMILY
11046,13059,FAMILY
11046,11859,FAMILY
11046,11303,FAMILY
11046,13772,FAMILY
13772,11303,FAMILY
13772,11859,FAMILY
13772,13059,FAMILY
13772,11688,FAMILY
13772,12635,FAMILY
11303,11859,FAMILY
11303,13059,FAMILY
11303,11688,FAMILY
11303,12635,FAMILY
11859,13059,FAMILY
11859,11688,FAMILY
11859,12635,FAMILY
13059,11688,FAMILY
13059,12635,FAMILY
11688,12635,FAMILY
13901,12712,FAMILY
13543,14155,FAMILY
13543,13404,FAMILY
13543,13984,FAMILY
13543,11913,FAMILY
11913,13984,FAMILY
11913,13404,FAMILY
11913,14155,FAMILY
13984,13404,FAMILY
13984,14155,FAMILY
13404,14155,FAMILY
12991,13037,FAMILY
12991,11960,FAMILY
11960,13037,FAMILY
11264,13140,FAMILY
11264,13399,FAMILY
11264,11321,FAMILY
11321,13399,FAMILY
11321,13140,FAMILY
13399,13140,FAMILY
13008,11312,FAMILY
13008,13674,FAMILY
13008,11999,FAMILY
13008,12624,FAMILY
13008,11587,FAMILY
11587,12624,FAMILY
11587,11999,FAMILY
11587,13674,FAMILY
11587,11312,FAMILY
12624,11999,FAMILY
12624,13674,FAMILY
12624,11312,FAMILY
11999,13674,FAMILY
11999,11312,FAMILY
13674,11312,FAMILY
11713,14087,FAMILY
13713,13479,FAMILY
13713,11991,FAMILY
13713,12245,FAMILY
13713,13346,FAMILY
13713,11074,FAMILY
13713,14037,FAMILY
14037,11074,FAMILY
14037,13346,FAMILY
14037,12245,FAMILY
14037,11991,FAMILY
14037,13479,FAMILY
11074,13346,FAMILY
11074,12245,FAMILY
11074,11991,FAMILY
11074,13479,FAMILY
13346,12245,FAMILY
13346,11991,FAMILY
13346,13479,FAMILY
12245,11991,FAMILY
12245,13479,FAMILY
11991,13479,FAMILY
13683,12787,FAMILY
14061,12840,FAMILY
13703,13096,FAMILY
13703,12507,FAMILY
13703,11956,FAMILY
11956,12507,FAMILY
11956,13096,FAMILY
12507,13096,FAMILY
11785,13581,FAMILY
11785,13719,FAMILY
11785,13265,FAMILY
11785,12588,FAMILY
12588,13265,FAMILY
12588,13719,FAMILY
12588,13581,FAMILY
13265,13719,FAMILY
13265,13581,FAMILY
13719,13581,FAMILY
12221,12343,FAMILY
12221,13733,FAMILY
12221,12468,FAMILY
12221,11482,FAMILY
12221,13888,FAMILY
12221,13948,FAMILY
13948,13888,FAMILY
13948,11482,FAMILY
13948,12468,FAMILY
13948,13733,FAMILY
13948,12343,FAMILY
13888,11482,FAMILY
13888,12468,FAMILY
13888,13733,FAMILY
13888,12343,FAMILY
11482,12468,FAMILY
