SOURCE,TARGET,WEIGHT,KIND
10998,10997,2,PROJECT
8756,8755,2,PROJECT
2599,2598,2,PROJECT
3085,3070,1,FAMILY
3070,3368,1,FAMILY
3730,4570,1,FAMILY
3045,3650,1,FAMILY
3650,3160,1,FAMILY
3160,3006,1,FAMILY
3006,2935,1,FAMILY
2935,4588,1,FAMILY
4588,4452,1,FAMILY
3102,3228,1,FAMILY
3228,3797,1,FAMILY
3797,4328,1,FAMILY
3082,3283,1,FAMILY
3283,3417,1,FAMILY
3417,2865,1,FAMILY
2865,3497,1,FAMILY
3588,3701,1,FAMILY
3701,2984,1,FAMILY
2984,4427,1,FAMILY
4551,4663,1,FAMILY
4663,4551,1,FAMILY
3142,3164,1,FAMILY
3164,2873,1,FAMILY
2873,2862,1,FAMILY
3792,4874,1,FAMILY
4874,3424,1,FAMILY
3424,4179,1,FAMILY
2961,3893,1,FAMILY
3893,2961,1,FAMILY
2961,4919,1,FAMILY
4677,4310,1,FAMILY
4310,4846,1,FAMILY
4078,4081,1,FAMILY
4081,3954,1,FAMILY
3954,4334,1,FAMILY
4334,2891,1,FAMILY
2891,3242,1,FAMILY
2929,3952,1,FAMILY
3952,3429,1,FAMILY
3429,3723,1,FAMILY
3723,3451,1,FAMILY
4387,4864,1,FAMILY
4864,4110,1,FAMILY
4552,4789,1,FAMILY
4033,3700,1,FAMILY
4681,4681,1,FAMILY
4681,3798,1,FAMILY
4487,4518,1,FAMILY
4518,3090,1,FAMILY
3090,3432,1,FAMILY
3432,4550,1,FAMILY
4550,4016,1,FAMILY
4016,4028,1,FAMILY
4028,3559,1,FAMILY
3559,4042,1,FAMILY
3687,4316,1,FAMILY
4316,4323,1,FAMILY
4664,4896,1,FAMILY
4896,4491,1,FAMILY
4491,3561,1,FAMILY
3561,3056,1,FAMILY
3042,3320,1,FAMILY
3320,3532,1,FAMILY
3532,4629,1,FAMILY
3133,4181,1,FAMILY
4181,3133,1,FAMILY
3569,4402,1,FAMILY
3733,3426,1,FAMILY
3426,2944,1,FAMILY
2944,4035,1,FAMILY
4035,3049,1,FAMILY
3049,4349,1,FAMILY
4349,3319,1,FAMILY
3781,3313,1,FAMILY
3592,2974,1,FAMILY
2974,3541,1,FAMILY
3541,4099,1,FAMILY
4099,3613,1,FAMILY
4686,4063,1,FAMILY
4063,4460,1,FAMILY
3693,4692,1,FAMILY
4692,3411,1,FAMILY
3411,3146,1,FAMILY
3146,4477,1,FAMILY
4477,3826,1,FAMILY
4897,4103,1,FAMILY
4493,4493,1,FAMILY
4493,4921,1,FAMILY
4830,4660,1,FAMILY
4660,3832,1,FAMILY
3832,2860,1,FAMILY
2860,3673,1,FAMILY
3929,3054,1,FAMILY
3103,4617,1,FAMILY
4617,3853,1,FAMILY
4343,3008,1,FAMILY
3008,4429,1,FAMILY
4429,4585,1,FAMILY
4585,3057,1,FAMILY
3057,3399,1,FAMILY
3399,4492,1,FAMILY
4291,4721,1,FAMILY
4721,4905,1,FAMILY
4905,4938,1,FAMILY
3185,4109,1,FAMILY
4109,3533,1,FAMILY
3533,3317,1,FAMILY
3317,3721,1,FAMILY
4531,3885,1,FAMILY
3885,4544,1,FAMILY
4295,3121,1,FAMILY
3981,3879,1,FAMILY
3879,3777,1,FAMILY
3777,3407,1,FAMILY
3188,4148,1,FAMILY
4148,3188,1,FAMILY
3344,4640,1,FAMILY
4640,3162,1,FAMILY
3162,4456,1,FAMILY
4456,4514,1,FAMILY
4514,3704,1,FAMILY
2855,4481,1,FAMILY
4481,4675,1,FAMILY
4675,3514,1,FAMILY
3423,3237,1,FAMILY
3237,4450,1,FAMILY
4085,3487,1,FAMILY
3487,3059,1,FAMILY
3201,4625,1,FAMILY
4625,3201,1,FAMILY
3153,4740,1,FAMILY
4631,4212,1,FAMILY
4212,3488,1,FAMILY
3488,4441,1,FAMILY
4441,3629,1,FAMILY
3629,4141,1,FAMILY
4141,4503,1,FAMILY
4878,4391,1,FAMILY
4391,4169,1,FAMILY
4169,4898,1,FAMILY
3565,3763,1,FAMILY
3763,4935,1,FAMILY
3564,3875,1,FAMILY
3875,3762,1,FAMILY
3762,2875,1,FAMILY
2875,4922,1,FAMILY
3834,4894,1,FAMILY
4894,3628,1,FAMILY
3628,4770,1,FAMILY
4770,4238,1,FAMILY
4736,3855,1,FAMILY
3855,3770,1,FAMILY
3770,4736,1,FAMILY
4196,4232,1,FAMILY
4232,3939,1,FAMILY
3939,4439,1,FAMILY
3137,2982,1,FAMILY
2982,2906,1,FAMILY
2906,3089,1,FAMILY
3089,2847,1,FAMILY
2847,2963,1,FAMILY
4455,3868,1,FAMILY
3867,4766,1,FAMILY
4766,3414,1,FAMILY
3414,3910,1,FAMILY
3910,3740,1,FAMILY
3916,3422,1,FAMILY
3422,3351,1,FAMILY
4730,4221,1,FAMILY
3694,3542,1,FAMILY
3542,3735,1,FAMILY
3735,3578,1,FAMILY
3578,3654,1,FAMILY
4724,4149,1,FAMILY
4149,4392,1,FAMILY
4392,3064,1,FAMILY
4155,3383,1,FAMILY
3383,3130,1,FAMILY
3130,4342,1,FAMILY
3014,3180,1,FAMILY
3180,3014,1,FAMILY
3014,4751,1,FAMILY
3114,4590,1,FAMILY
4590,3726,1,FAMILY
4756,4723,1,FAMILY
4723,3680,1,FAMILY
3680,4580,1,FAMILY
4580,3892,1,FAMILY
3892,4778,1,FAMILY
4718,3004,1,FAMILY
3004,4300,1,FAMILY
4300,3305,1,FAMILY
3305,2866,1,FAMILY
4360,4211,1,FAMILY
4211,3478,1,FAMILY
3478,3413,1,FAMILY
4649,3784,1,FAMILY
4102,4808,1,FAMILY
4808,4760,1,FAMILY
4760,4301,1,FAMILY
3249,3015,1,FAMILY
3015,4382,1,FAMILY
4671,4089,1,FAMILY
4089,4426,1,FAMILY
4426,4305,1,FAMILY
4305,3495,1,FAMILY
3495,3663,1,FAMILY
3663,4811,1,FAMILY
4510,2909,1,FAMILY
3140,4314,1,FAMILY
4314,2976,1,FAMILY
2976,3107,1,FAMILY
3107,4571,1,FAMILY
4814,4839,1,FAMILY
4839,4757,1,FAMILY
4757,2854,1,FAMILY
2854,4782,1,FAMILY
